seed,trial,condition,n_base,n_stim,noframe_steps,valid,spikes_stim,spikes_base,d_DNa02_L,s_DNa02_L,d_DNa02_R,s_DNa02_R,d_DNa01_L,s_DNa01_L,d_DNa01_R,s_DNa01_R,d_MDN,s_MDN,d_DNp09,s_DNp09,d_DNp01,s_DNp01,d_DNp02,s_DNp02,d_DNp04,s_DNp04,d_turn,d_fwd,d_escape,escape_onset_ms,h2_onset_ok
2026,72,grating_R,101,100,0,True,24171.21,24740.633663366338,-4.262376237623762,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.262376237623762,0.0,0.0,,False
2026,73,loom,100,101,0,True,24431.10891089109,24722.6,-4.242574257425744,24.257425742574256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.242574257425744,0.0,0.0,,False
2026,74,bright_L,97,101,0,True,24260.465346534653,24690.690721649484,0.46442788608757724,26.237623762376238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46442788608757724,0.0,0.0,,False
2026,75,bright_R,99,101,0,True,24177.62376237624,24655.76767676768,-13.471347134713472,16.831683168316832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.471347134713472,0.0,0.0,,False
2026,76,grey,100,100,0,True,24684.0,24667.49,-7.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,,False
2026,77,grating_R,101,97,0,True,24116.17525773196,24663.574257425742,-8.752679391650506,16.49484536082474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.752679391650506,0.0,0.0,,False
2026,78,grating_R,104,97,0,True,24149.134020618556,24738.19230769231,-6.165741475019825,22.68041237113402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.165741475019825,0.0,0.0,,False
2026,79,disc,102,100,0,True,24477.11,24688.20588235294,-5.9117647058823515,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9117647058823515,0.0,0.0,,False
2026,80,grating_R,101,98,0,True,24129.214285714286,24738.653465346535,-4.314002828854317,21.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.314002828854317,0.0,0.0,,False
2026,81,grating_L,99,99,0,True,24135.41414141414,24700.76767676768,-2.525252525252526,23.737373737373737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.525252525252526,0.0,0.0,,False
2026,82,grating_R,103,101,0,True,24099.396039603962,24694.194174757282,-6.43083725848313,18.81188118811881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43083725848313,0.0,0.0,,False
2026,83,bright_R,98,100,0,True,24205.24,24695.581632653062,-4.020408163265305,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.020408163265305,0.0,0.0,,False
2026,84,grating_L,101,99,0,True,24132.646464646463,24699.841584158417,-2.5202520252025202,22.727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5202520252025202,0.0,0.0,,False
