seed,trial,condition,n_base,n_stim,spikes_stim,spikes_base,d_DNa02_L,s_DNa02_L,d_DNa02_R,s_DNa02_R,d_DNa01_L,s_DNa01_L,d_DNa01_R,s_DNa01_R,d_MDN,s_MDN,d_DNp09,s_DNp09,d_DNp01,s_DNp01,d_DNp02,s_DNp02,d_DNp04,s_DNp04,d_turn,d_fwd,d_escape
2026,131,bright_R,50,100,28593.29,28989.0,-0.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,3.5,-9.0,13.0,0.5,0.0,0.0
2026,132,disc,50,100,29510.72,29019.26,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.5,5.5,28.0,-3.0,0.0,5.5
2026,133,grey,50,100,29678.78,25556.28,-4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,13.25,21.75,38.25,4.0,0.0,21.75
2026,134,bright_R,50,100,28685.11,26323.16,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.5,4.5,-13.75,16.25,-1.0,0.0,0.0
2026,135,grating_R,50,100,28730.12,28988.24,4.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,3.5,-4.0,15.5,-4.5,0.0,0.0
2026,136,grating_L,50,100,28763.14,29099.74,-1.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,6.5,-5.75,18.25,1.5,0.0,0.0
2026,137,grey,50,100,29491.23,29178.86,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,9.75,8.25,28.75,-2.0,0.0,8.25
2026,138,grey,50,100,29493.66,29547.32,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,13.5,10.0,36.5,-4.0,0.0,10.0
2026,139,bright_R,50,100,28580.63,26702.8,2.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,6.75,5.25,21.25,-2.5,0.0,5.25
2026,140,bright_L,50,100,28683.66,29055.84,9.5,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.25,3.25,-12.5,14.5,-9.5,0.0,0.0
2026,141,bright_R,50,100,28625.51,29159.4,-1.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.75,4.75,-10.5,15.5,1.5,0.0,0.0
2026,142,grey,50,100,29540.11,28993.64,-0.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,12.25,8.5,35.0,0.5,0.0,8.5
2026,143,loom,50,100,27696.81,29567.1,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,10.25,-1.5,26.5,0.0,0.0,1.25
2026,144,bright_R,50,100,28774.74,29792.7,3.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,8.75,-21.0,25.0,-3.5,0.0,0.0
2026,145,bright_L,50,100,28747.7,28982.98,-0.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25,4.75,-3.0,17.0,0.5,0.0,0.0
2026,146,grey,50,100,29526.29,29237.3,-7.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.75,9.75,0.5,27.0,7.5,0.0,0.5
2026,147,bright_R,50,100,28711.31,29504.2,-1.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.75,7.75,-14.75,21.25,1.5,0.0,0.0
2026,148,bright_L,50,100,28684.62,29070.62,6.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.25,5.25,-6.0,19.0,-6.5,0.0,0.0
2026,149,grating_R,50,100,28918.4,29208.18,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,4.0,-4.5,17.0,0.0,0.0,0.0
2026,150,bright_R,50,100,28673.99,29130.7,-3.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,5.5,-7.25,16.75,3.5,0.0,0.0
2026,151,bright_R,50,100,28799.4,29118.56,3.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.75,6.75,-9.5,22.0,-3.5,0.0,0.0
2026,152,bright_R,50,100,28685.87,29086.98,-2.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5,6.0,-13.75,19.25,2.5,0.0,0.0
2026,153,disc,50,100,29579.21,29049.12,3.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,9.75,10.25,30.25,-3.5,0.0,10.25
2026,154,grating_R,50,100,29053.05,29688.18,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.5,8.0,-16.0,22.5,-5.0,0.0,0.0
